Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
8,0168,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,1/25/2016,1,1,1,3,,2,2,3,,1,Stay in at break time 
8,0173,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,1/25/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,1/25/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,1/25/2016,1,1,1,1,,2,2,2,,1,Stay in at break time 
8,0181,M,1/25/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,1/25/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,1/25/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,1/25/2016,1,1,1,5,,2,2,3,,1,Stay in at break time 
8,0186,M,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,1/25/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,1/25/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,1/25/2016,1,1,1,2,,2,1,3,,2,
8,0190,M,1/25/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,1/25/2016,1,1,1,5,,2,2,3,,1,Stay in at break time 
8,0192,M,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,1/25/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,1/25/2016,1,1,1,4,,2,1,4,,2,Learning Difficulty suspected. Assignment was given at her level
8,0195,F,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0196,F,1/25/2016,1,1,1,5,,2,1,3,,2,
8,0197,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0198,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0199,F,1/25/2016,1,1,1,5,,2,1,5,,2,
8,0200,F,1/25/2016,1,1,1,4,,2,1,5,,2,
8,0201,F,1/25/2016,1,1,1,4,,2,1,5,,2,
8,0202,M,1/25/2016,1,1,1,5,,2,1,4,,2,
8,0203,M,1/25/2016,1,1,1,3,,2,1,3,,2,
8,0204,M,1/25/2016,1,1,1,4,,2,1,3,,2,
8,0205,M,1/25/2016,1,1,1,4,,2,1,5,,2,
8,0206,M,1/25/2016,1,1,1,2,,2,2,2,,2,
8,0207,M,1/25/2016,1,1,1,5,,2,1,4,,2,
8,0208,M,1/25/2016,1,1,6,,,2,6,,,2,Overseas
8,0209,M,1/25/2016,1,1,1,3,,2,1,4,,2,
8,0210,M,1/25/2016,1,1,1,4,,2,1,5,,2,
8,0211,M,1/25/2016,1,1,1,2,,2,2,2,,1,
8,0212,M,1/25/2016,1,1,1,2,,2,1,3,,2,
8,0213,M,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0214,M,1/25/2016,1,1,1,4,,2,1,4,,2,
8,0168,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0169,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0170,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0171,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0172,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0173,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0174,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0175,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0176,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0177,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0178,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0179,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0180,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0182,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0183,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0184,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0185,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0186,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0187,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0188,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0189,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0190,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0191,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0192,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0193,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0194,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0195,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0196,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0197,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0198,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0199,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0200,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0201,F,1/26/2016,2,2,7,,,2,7,,,2,
8,0202,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0203,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0204,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0205,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0206,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0207,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0208,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0209,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0210,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0211,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0212,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0213,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0214,M,1/26/2016,2,2,7,,,2,7,,,2,
8,0168,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,1/27/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,1/27/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,1/27/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,1/27/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,1/27/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,1/27/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,1/27/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,1/27/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,1/27/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,1/27/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,1/27/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,1/27/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,1/27/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,1/27/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,1/27/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,1/27/2016,1,1,1,3,,2,1,4,,2,
8,0190,M,1/27/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,1/27/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,1/27/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,1/27/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0195,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0196,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0197,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0198,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0199,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0200,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0201,F,1/27/2016,2,2,7,,,2,7,,,2,
8,0202,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0203,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0204,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0205,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0206,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0207,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0208,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0209,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0210,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0211,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0212,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0213,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0214,M,1/27/2016,2,2,7,,,2,7,,,2,
8,0168,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0169,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0170,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0171,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0172,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0173,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0174,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0175,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0176,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0177,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0178,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0179,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0180,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0182,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0183,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0184,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0185,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0186,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0187,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0188,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0189,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0190,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0191,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0192,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0193,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0194,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0195,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0196,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0197,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0198,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0199,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0200,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0201,F,1/28/2016,2,2,7,,,2,7,,,2,
8,0202,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0203,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0204,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0205,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0206,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0207,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0208,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0209,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0210,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0211,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0212,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0213,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0214,M,1/28/2016,2,2,7,,,2,7,,,2,
8,0168,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0169,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0170,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0171,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0172,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0173,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0174,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0175,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0176,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0177,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0178,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0179,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0180,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0181,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0182,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0183,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0184,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0185,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0186,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0187,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0188,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0189,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0190,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0191,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0192,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0193,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0194,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0195,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0196,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0197,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0198,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0199,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0200,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0201,F,1/29/2016,2,2,7,,,2,7,,,2,
8,0202,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0203,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0204,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0205,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0206,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0207,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0208,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0209,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0210,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0211,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0212,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0213,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0214,M,1/29/2016,2,2,7,,,2,7,,,2,
8,0168,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,2/1/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,2/1/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,2/1/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,2/1/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,2/1/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,2/1/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,2/1/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,2/1/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,2/1/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,2/1/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,2/1/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,2/1/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,2/1/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,2/1/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,2/1/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,2/1/2016,1,1,1,1,,2,1,2,,2,
8,0190,M,2/1/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,2/1/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,2/1/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,2/1/2016,1,1,1,3,,2,1,2,,2,
8,0194,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0195,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0196,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0197,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0198,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0199,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0200,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0201,F,2/1/2016,2,2,7,,,2,7,,,2,
8,0202,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0203,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0204,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0205,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0206,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0207,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0208,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0209,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0210,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0211,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0212,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0213,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0214,M,2/1/2016,2,2,7,,,2,7,,,2,
8,0168,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0169,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0170,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0171,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0172,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0173,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0174,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0175,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0176,F,2/2/2016,2,2,7,,,2,7,,,2,
8,0177,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0178,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0179,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0180,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0181,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0181,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0182,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0183,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0184,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0185,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0186,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0187,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0188,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0189,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0190,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0191,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0192,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0193,M,2/2/2016,2,2,7,,,2,7,,,2,
8,0194,F,2/2/2016,1,1,1,4,,2,1,4,,2,
8,0195,F,2/2/2016,1,1,1,4,,2,1,4,,2,
8,0196,F,2/2/2016,1,1,1,5,,2,1,3,,2,
8,0197,F,2/2/2016,1,1,1,5,,2,1,5,,2,
8,0198,F,2/2/2016,1,1,1,5,,2,1,5,,2,
8,0199,F,2/2/2016,1,1,1,5,,2,1,5,,2,
8,0200,F,2/2/2016,1,1,1,4,,2,1,5,,2,
8,0201,F,2/2/2016,1,1,1,4,,2,1,5,,2,
8,0202,M,2/2/2016,1,1,1,5,,2,1,4,,2,
8,0203,M,2/2/2016,1,1,1,3,,2,1,3,,2,
8,0204,M,2/2/2016,1,1,1,4,,2,1,3,,2,
8,0205,M,2/2/2016,1,1,1,4,,2,1,5,,2,
8,0206,M,2/2/2016,1,1,1,2,,2,2,2,,2,
8,0207,M,2/2/2016,1,1,1,5,,2,1,4,,2,
8,0208,M,2/2/2016,1,1,6,,,2,6,,,2,
8,0209,M,2/2/2016,1,1,1,3,,2,1,4,,2,
8,0210,M,2/2/2016,1,1,1,4,,2,1,5,,2,
8,0211,M,2/2/2016,1,1,1,2,,2,2,2,,1,
8,0212,M,2/2/2016,1,1,1,2,,2,1,3,,2,
8,0213,M,2/2/2016,1,1,1,4,,2,1,4,,2,
8,0214,M,2/2/2016,1,1,1,4,,2,1,4,,2,
8,0168,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0169,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0170,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0171,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0172,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0173,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0174,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0175,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0176,F,2/3/2016,2,2,7,,,2,7,,,2,
8,0177,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0178,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0179,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0180,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0181,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0181,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0182,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0183,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0184,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0185,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0186,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0187,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0188,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0189,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0190,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0191,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0192,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0193,M,2/3/2016,2,2,7,,,2,7,,,2,
8,0194,F,2/3/2016,1,1,1,4,,2,2,2,,2,
8,0195,F,2/3/2016,1,1,1,3,,2,2,4,,2,
8,0196,F,2/3/2016,1,1,1,3,,2,1,3,,2,
8,0197,F,2/3/2016,1,1,1,5,,2,1,5,,2,
8,0198,F,2/3/2016,1,1,1,4,,2,1,5,,2,
8,0199,F,2/3/2016,1,1,1,5,,2,1,5,,2,
8,0200,F,2/3/2016,1,1,1,4,,2,1,4,,2,
8,0201,F,2/3/2016,1,1,1,4,,2,1,4,,2,
8,0202,M,2/3/2016,1,1,1,4,,2,1,4,,2,
8,0203,M,2/3/2016,1,1,1,4,,2,1,3,,2,
8,0204,M,2/3/2016,1,1,1,5,,2,1,3,,2,
8,0205,M,2/3/2016,1,1,1,4,,2,1,5,,2,
8,0206,M,2/3/2016,1,1,5,,,1,2,2,,2,
8,0207,M,2/3/2016,1,1,1,5,,2,1,4,,2,
8,0208,M,2/3/2016,1,1,1,5,,2,1,4,,2,
8,0209,M,2/3/2016,1,1,1,4,,2,1,4,,2,
8,0210,M,2/3/2016,1,1,1,5,,2,1,5,,2,
8,0211,M,2/3/2016,1,1,1,2,,2,2,3,,1,
8,0212,M,2/3/2016,1,1,2,3,,1,2,3,,1,
8,0213,M,2/3/2016,1,1,2,3,,1,1,4,,2,
8,0214,M,2/3/2016,1,1,1,4,,2,1,4,,2,
8,0168,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,2/4/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,2/4/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,2/4/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,2/4/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,2/4/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,2/4/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,2/4/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,2/4/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,2/4/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,2/4/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,2/4/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,2/4/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,2/4/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,2/4/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,2/4/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,2/4/2016,1,1,1,2,,2,1,3,,2,
8,0190,M,2/4/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,2/4/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,2/4/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,2/4/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0195,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0196,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0197,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0198,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0199,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0200,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0201,F,2/4/2016,2,2,7,,,2,7,,,2,
8,0202,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0203,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0204,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0205,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0206,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0207,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0208,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0209,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0210,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0211,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0212,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0213,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0214,M,2/4/2016,2,2,7,,,2,7,,,2,
8,0168,F,2/5/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,2/5/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,2/5/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,2/5/2016,1,1,1,5,,2,1,5,,2,
